from_timepoint	to_timepoint	group	p_val_bf_adj
inclusion	followup_30d	FMT	1.000
inclusion	followup_1m	FMT	0.146
inclusion	followup_3m	FMT	0.943
inclusion	followup_6m	FMT	1.000
inclusion	followup_12m	FMT	1.000
inclusion	followup_30d	placebo	0.0049
inclusion	followup_1m	placebo	0.245
inclusion	followup_3m	placebo	0.0455
inclusion	followup_6m	placebo	0.271
inclusion	followup_12m	placebo	1.000

