clade_name	DoBa00000002MP	DoBa00000005MP	DoBa00000001MP	DoBa00000007MP	DoBa00000004MP	DoBa00000008MP	DoBa00000006MP	DoBa00000003MP	DoBa00000010MP	DoBa00000009MP	DoBa00000014MP	DoBa00000011MP	DoBa00000018MP	DoBa00000013MP	DoBa00000012MP	DoBa00000015MP	DoBa00000016MP	DoBa00000017MP	DoBa00000022MP	DoBa00000025MP	DoBa00000020MP	DoBa00000026MP	DoBa00000019MP	DoBa00000021MP	DoBa00000024MP	DoBa00000023MP	DoBa00000032MP	DoBa00000034MP	DoBa00000035MP	DoBa00000027MP	DoBa00000031MP	DoBa00000033MP	DoBa00000030MP	DoBa00000028MP	DoBa00000029MP	DoBa00000038MP	DoBa00000037MP	DoBa00000036MP	DoBa00000042MP	DoBa00000041MP	DoBa00000043MP	DoBa00000040MP	DoBa00000039MP	DoBa00000049MP	DoBa00000047MP	DoBa00000048MP	DoBa00000044MP	DoBa00000046MP	DoBa00000045MP	DoBa00000054MP	DoBa00000050MP	DoBa00000055MP	DoBa00000052MP	DoBa00000058MP	DoBa00000056MP	DoBa00000053MP	DoBa00000057MP	DoBa00000051MP	DoBa00000060MP	DoBa00000061MP	DoBa00000059MP	DoBa00000066MP	DoBa00000063MP	DoBa00000065MP	DoBa00000062MP	DoBa00000064MP	DoBa00000070MP	DoBa00000069MP	DoBa00000068MP	DoBa00000067MP	DoBa00000073MP	DoBa00000075MP	DoBa00000071MP	DoBa00000078MP	DoBa00000077MP	DoBa00000079MP	DoBa00000074MP	DoBa00000072MP	DoBa00000080MP	DoBa00000081MP	DoBa00000076MP	DoBa00000082MP	DoBa00000083MP	DoBa00000084MP	DoBa00000085MP	PaPr00000007MP	PaPr00000002MP	PaPr00000001MP	PaPr00000020MP	PaPr00000017MP	PaPr00000012MP	PaPr00000018MP	PaPr00000019MP	PaPr00000011MP	PaPr00000022MP	PaPr00000031MP	PaPr00000043MP	PaPr00000041MP	PaPr00000036MP	PaPr00000042MP	PaPr00000035MP	PaPr00000051MP	PaPr00000046MP	PaPr00000052MP	PaPr00000053MP	PaPr00000045MP	PaPr00000057MP	PaPr00000056MP	PaPr00000072MP	PaPr00000070MP	PaPr00000071MP	PaPr00000064MP	PaPr00000080MP	PaPr00000075MP	PaPr00000081MP	PaPr00000074MP	PaPr00000085MP	PaPr00000092MP	PaPr00000091MP	PaPr00000088MP	PaPr00000094MP	PaPr00000105MP	PaPr00000099MP	PaPr00000104MP	PaPr00000098MP	PaPr00000114MP	PaPr00000108MP	PaPr00000113MP	PaPr00000107MP	PaPr00000125MP	PaPr00000122MP	PaPr00000117MP	PaPr00000123MP	PaPr00000124MP	PaPr00000116MP	PaPr00000134MP	PaPr00000132MP	PaPr00000127MP	PaPr00000133MP	PaPr00000126MP	PaPr00000145MP	PaPr00000142MP	PaPr00000137MP	PaPr00000143MP	PaPr00000144MP	PaPr00000136MP	PaPr00000147MP	PaPr00000146MP	PaPr00000160MP	PaPr00000154MP	PaPr00000159MP	PaPr00000153MP	PaPr00000171MP	PaPr00000168MP	PaPr00000163MP	PaPr00000169MP	PaPr00000170MP	PaPr00000162MP	PaPr00000178MP	PaPr00000173MP	PaPr00000172MP	PaPr00000189MP	PaPr00000183MP	PaPr00000188MP	PaPr00000182MP	PAPR00000253MP	PaPr00000197MP	PaPr00000192MP	PaPr00000198MP	PaPr00000199MP	PAPR00000254MP	PaPr00000206MP	PaPr00000201MP	PaPr00000207MP	PaPr00000208MP	PaPr00000200MP	PaPr00000263MP	PaPr00000215MP	PaPr00000210MP	PAPR00000255MP	PaPr00000209MP	PaPr00000217MP	PaPr00000216MP	PaPr00000229MP	PaPr00000224MP	PaPr00000223MP	PaPr00000266MP	PaPr00000237MP	PaPr00000232MP	PAPR00000258MP	PAPR00000259MP	PaPr00000231MP	PaPr00000244MP	PaPr00000239MP	PAPR00000260MP	PAPR00000261MP	PaPr00000238MP	PaPr00000246MP	PaPr00000245MP
UNCLASSIFIED	7.60435	6.77597	5.39673	6.40165	8.35718	8.87628	9.6001	6.70665	4.66595	2.03348	1.89781	8.68821	5.96411	7.80567	6.7804	6.75256	5.1172	3.74337	7.92743	7.33821	7.50751	6.3463	9.2597	7.00837	5.74514	6.55459	1.20184	1.2701	1.80621	4.14962	0	6.71909	1.69503	8.83714	3.23605	7.33185	4.70038	9.4594	7.77025	6.09975	5.44022	6.27318	7.16122	0	0	2.06733	0	0.58081	1.68444	4.76756	4.73217	3.67714	5.03429	1.36443	0	1.97125	3.65854	1.77276	0.69077	0.43163	0	1.16053	2.07365	3.14555	0	3.21194	0.52279	0	3.64611	2.13993	5.10715	6.41533	5.34678	7.63277	1.63088	5.87311	6.95535	8.69886	8.01877	1.61831	6.94216	0	0	2.04011	0.90158	28.42536	26.08528	22.79767	28.88199	18.62358	15.69069	14.10896	16.14325	21.3152	10.87182	13.45187	33.31333	4.98167	4.20761	29.72373	29.81953	15.15465	25.84898	18.04791	24.00529	0	8.94003	12.06768	11.75195	16.47464	12.71271	14.01476	29.26728	11.13152	14.55573	18.66474	62.14178	20.74345	15.62488	20.14479	12.82312	22.02923	0.73307	5.00702	6.9418	8.9715	20.03617	9.48286	8.73872	13.49255	5.53532	3.57422	9.77495	5.60411	8.95007	13.63982	4.22332	6.84882	11.6411	15.23454	10.33854	14.28373	18.65083	32.5205	20.90862	9.74356	15.82348	10.37149	16.30354	14.98906	16.68649	9.6065	14.62692	7.9005	8.93545	15.19874	26.26683	5.64395	19.85074	16.00595	9.7028199999999991	12.43552	10.26867	26.01598	26.23209	3.99537	45.25803	34.54296	22.42016	21.77884	7.23063	8.69763	16.56246	4.77464	11.55035	12.89322	31.3851	13.49097	9.57875	11.69841	6.43077	11.99189	11.39563	12.51869	11.55273	9.1066	2.41669	24.86237	14.55912	16.32832	18.71213	13.96923	7.17772	8.94776	8.16176	10.1999	8.43441	28.98669	13.40888
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar|t__SGB6952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0237396773053376	0	0.0495902882792801	0	0	0	0	0	0	0	0	0	0.0213767886078158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5738526285315877	0.0228715526141393	0.0563857187029707	0.0888957378821754	0.2656524040290009	2.764052542779593	0.0083720622837281	0	0	0	0.0016248133888139	1.031569103117275	0	0	0	0.2267019069760399	0	0	0	0	0.0058650857552867	0.0054007805387669	0	0.6300484185862443	0.2362100517117704	0	3.4869146729060554	0	0.8788844529068339	0.2311774442308122	0	0	0	0	0.0012709235811858	0.2142180301172042	0.0116461389588459	0.0769498230616292	0.0174137511915851	0	0.1527748317334136	0	0.1066636877432854	0.064812217461555	0	0.1844741271786734	0.0096566993079699	0	0	0.0282445440544114	0.3065977981632373	0	0.085825032139505	0	0	0	0	0	0	0.012980019834301	0.1798664897686224	0	0.8884323368110193	0	0.0274615466733346	0	0	0	0	0	0	0.5788539592255311	0	0.1382359486158118	0.0680813858940668	0	0	0.3620012482412843	0	1.0634230577990018	0.053164211348474	0.020519867950995	0.0882334697234241	0	0	0	0	0	0.0100259908010161	0.3120880126861375	0.2045679072227024	3.0551530476006943	2.111026126329444	1.487685286412704	0	0	0.0080220365699564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	0	0	0	0	0	0	0.0098174288064924	0	0.0996717445826955	0	7.712362823307444	3.4178275416000625	0.9245702961565236	0.0397449739991828	0.4110145476000709	5.566144597339265	3.3497329880891717	11.301086499154597	0	0	0.0236318309799118	0	0	0	0	0	7.11372426836641	17.299788370804865	1.5726128629748013	15.580191145496697	6.66984	7.491548250421799	22.905500589358013	17.78921149574701	16.008192013519487	0	0	0.0413046195838724	0	0	0	0	0.0012533234625366	0.28765	0	0	0	0.0369541143562603	0	0	0	0	0	0	0	0	0	0	0	0	0.02082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.3839916108749	44.09283825409821	24.03894454216798	70.42384316972407	77.5752423100538	78.44566618841087	22.98314590412228	0	78.40035036252357	0	11.318236443553882	64.51649559057756	0.4743314875414809	0	64.86504351367529	55.297380083258425	13.328117999519955	18.29298196090736	15.46984993587814	27.41057760662908	0	0	0	1.1091544163324456	33.21681553705114	5.335462046883495	7.495161365662554	65.56836285695616	0.792378004782048	15.883482921377578	2.373070171464222	0	79.05691308242177	67.52842261022498	66.70256633220502	4.536771797518137	67.48820195135008	0	2.6889186985201725	0	0	16.49293199261301	13.994275965979377	0	42.64420291498158	5.756951592388577	1.8580284266120968	0	3.466566259785882	0.4267236928763315	0.6426319852329581	3.9289032347508943	1.960534282792132	2.0071254880937435	13.875436783686991	0.0333002663515743	8.061520459710842	1.3408864646324452	53.884859223427895	42.65203434853231	12.514778124521774	5.977922039965256	0.9433938233548992	83.52812094752375	8.354288655286005	78.40686043446117	0	6.35978188461382	0.1222805077836255	0.3758324917473417	6.868834548822893	17.89683177902946	0.9490709186906272	0.449132387819793	7.901387929151591	0.0042168781764703	2.4606495498510266	0.0297010692035994	59.69858989432655	62.26928255268689	4.521789201931169	24.87011626270177	23.61495094931206	27.156055310219667	70.67150494044532	0	0.5284215953232381	16.69155422500231	0.678442601534707	0	3.398488586444883	8.711821189411564	4.340910748152331	8.389400717868897	0	5.255119406028444	3.4457550253932365	1.7486337601754072	0	0	0.0174333543677646	3.4883106965738486	59.85637785177541	3.036064932000466	32.32763136956451	36.75180544956964	3.384527943995806	0.6412256227311725	1.3469175987815067	1.3037816422449602	2.530360276692504	1.3558941043540254	52.29717868523757	11.519658930879432
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica|t__SGB6936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2336160083015486	0.5250856169650966	0.0691455407445724	0	0.1134019428495877	1.1326279209613954	0.022873670168043	0	0	0	1.3609855025343849	0.6846377996517228	0	0	0	0.8198358990282896	0.1200762004272391	0.0016566846816205	0	0.0078766877401914	0.0531902604703591	5.565054280154393	0	2.66583252479193	0	0	1.842074685791502	0	1.37316698053208	0.180511786295843	0	0.0022612532790353	0.0684359114159695	0	0.1575867269898629	1.3285984879016095	3.3036847466438544	0.7748304653017823	0.0410720571753435	0	0	0	0.1938112944201594	0.2694321624309099	0	0.0218795734328613	0.0350869514445007	0	0	0.580234305833962	0	0	0	0.0725002567902074	0.2270023852852316	6.913052263498079	0.817473684774031	0.1403160131868265	2.987777143847951	0.2999125335125247	17.950510762453874	0	0.1275674172904098	0	0	0.0640041946854106	0.1377255941399666	0	0.2087976723981437	0.1320413586521248	0.0719842324692873	4.793991514960048	0.5109778323028368	0.639466549681531	1.66755175376314	0	0	0.2666340985405665	0	0.2342518544089389	0	0.0122886468182896	0.0319846327747412	0.1384768420851738	0	0	0	0.148878445559551	0.002160248235145	0.0527923043181589	0.082019212939419	0	0.3034307557579733	0.2847873137638578	0	0	0.0451053659266036	0	0	0.0107829561074051	0	0	0	0	0	0	0	0	0	0	0	0.0289041174180915
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula|t__SGB6939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0470970740456542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2862816748221917	0	0	0.1184124277840623	3.4260905990597856	7.205718003472325	0	0	0.0868770124775615	0	1.2664137618392657	3.393541253160293	0	0	0	0	0	0	0	0	0	0.014560927923146	0	0.7870258885555578	0.284972281090295	0	0.0882641717247658	0	0.0329814492030799	0	0	0	0	0	0	0.7319744719546991	0.7440894867743579	0.1368141611624227	0	0	0	0	0.7324758936414811	0.0075288350556565	0	0.2239295393938911	0	0	0	0	0.1068723503167898	0	0	0	0	0	0	0	0	0	0.1828152676804161	0	0.0952122533421691	0	0	0	0.0711008149498824	0	0.086955216179456	0.0208886067155165	0	0.0211193290487562	0	0.018998526088423	0.0095707980427286	0	0	0.0888239363819881	0	0.0407499253182871	0	0	0	0	0	0	0	0	0	0	0.1071068321277235	0.0157152124918018	0.250264368061359	0.565289156713422	0	0	0.1418946926550643	0	0.0063534487502958	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__SGB8007_group	0	0.0520935864449066	0	0.132582055766748	0	0.0016311146727837	0.093762773094788407	0	0	0.0850153487630538	0.187453671825641	0	0	0.2334360337878238	0.1284659336480591	0	0.8419805053550597	0.3848243759249556	0.0512383873513171	0	0.2149987910481609	0	0.1010574701685704	0.3662847399888715	0	0.0354812230299926	0.4410448581914332	0.416600676675879	0.3134738628920137	0.3129706492785213	0.73328	0.6576770375872867	0.3590294146784862	0.4577743259126868	0.0670283863364571	0.3901792390874756	2.199248476662022	0.6165724000530747	0.1170764424083771	0.039541395632409	0.5309626219871523	0.0657587364283545	0.0648664520943948	0.04337	0	0.0467530543591693	0	0.005338810710065	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0379543571387989	0	0.0709265164121659	0	0.0499426408391336	0	0	0	0	0.2352014183078244	0	0.0285284800386875	0.0065488363621712	0	0	0.0565246259055876	0.0920863251534729	0	0	0	0.02811	0	0	0.0268556723146683	0	0	0.2496877710775935	0.0384961798197563	0.0880574198419463	0.2146262138909844	0.3089930238592682	5.486713395376792	0.1751523556727344	0.0750548404301848	0	0	0.6233202240128437	0.5536033876323595	0	0.0093480382894978	0	0	0	0.1942272802424642	0.0128	0.6836145418721331	0.3923100464349603	0.8291963087967573	0.1460023263583862	0.0985560839314678	0.016973486297515	0	0.0042034789796429	0	0.8295383487600803	0.1800537018147752	0.0114922000997825	0.2059343611246832	0	0.7334626451916536	0.554036913548003	1.4699049595753075	7.457518638688098	22.06451725978484	0.0604065096222473	0	0	0.1204557620158447	0.2303001374778381	1.114683232832458	0.0184462524267421	0.6511180603529371	0.1398475075733868	0.04242926598254	0.0204673619529129	0.203104035679162	0.1150882845083185	0	0.018419535292755	0	0	0	0	0	0	0.200584236466641	0	0	4.87156894662828	0	0.5155774317337029	2.175032769322756	0.0202342604203227	0.2557638865841835	0.089049807402035	0.7097997225823907	0.2012520244248825	14.544934012895066	2.1288377180075004	0.3496577593735763	0.0225741238372867	0	0	0.1822731205101358	0	0.0178732544551595	0	0.1887827851491544	1.2884511435614088	0.2220713234966766	0.2658359798436553	0	0.0900831907828977	0.4439464674147449	0.2971560818295965	0.5416940536789311	1.4300375482491994	1.439280177435304	2.7900476976787627	2.8411735806450538	1.4345233493068732	0.05528912488533	1.588564447875492	1.2935059846350192	0.4353612135073989	0.0057281404842052	0	0.0762901657220308	0.0815547825526584	0.0516746971247658	0.07076030883728	0.1184412348699318	0.2910484901103974	0.0556447925218343	0.3100258651079826	0.0086529482817587	0.0959460863397703	0.1859024855748975
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis|t__SGB9286	0.0559270856769951	0.1211353010495914	0	0.5233832258641028	0.2144991794423601	0.1758141145066424	0.4616903535959344	0.0784317196528784	0	0	0.0462159434776321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0301105581419864	0.0424659104140212	0.02653	0.4168060522247786	0	0.1569816984853729	0	0.0141310572916928	0.2506129409926957	0.79326	0.1452534871841669	0.0276258974122495	0	0	0	0	0	0	0	0	0	0	0	0	0.23578	0.0033012483556363	0.0752751612185317	0	1.530271317706652	0	0	0	0	0	0	0	0	0	0	0.0888991465832952	1.2799683529216543	0	0	0.1580668815352599	0.0138439950388992	1.7417933037404143	0	0	0	0	0	0.0995956372710181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1172989438794618	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4870410522933551	0.3648169965685437	0	0.0412704637132501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0190230413026075	0	0	0	0	1.7482921951568502	0	0	0	0	0	0	0	0	0	0	0.0257519707575671	0	0	0	0	0	0	0	1.3018784979195746	0	0	0	0.0265404886129243	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens|t__SGB6191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1016676794368276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1205910189034626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2963389121947095	1.6735766383853374	0	0.1950674069893075	0.0252759315412331	0	3.415938120453614	0	0	0	0	1.7406787365519645	0	0	0.8843861809980228	0	0.3258047423776941	0	0	0	0	0	0	2.6417400332168426	0.3409092564013294	2.267688724034262	0	0	0	0	13.28280311832962	0	5.008001012084421	5.643063947845024	0	0	0.8645851607561694	0	0.4772582689005586	0.2431735229127058	0	0	0	0	0	0	0	0	0	0	0	0.3179156666923839	0	0.0214202327127436	0	0.0023486256680947	0	0	0	0.0373300655735854	0	0	0	3.85226226694202	0	10.05667510932799	4.796430126471577	0	0	0.0579192633611941	0	0.2535064063117502	0.524825345518637	0.0767789654817166	0	0	0	0	0.0250220739313764	0	0	0	0	0	0	0	0	0	0	0	0	0.0220078976603609	0	0.7668198428768782	0	0.5080884054637416	0	0	0	0	0	0.0793603629508219	0.2005041235299471	0	0	0	0	0	0	0	0	8.563743884993775	5.132870756752416
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis|t__SGB8071	0	0	0	0	0	0	0	0	0	0	0.0546821627986248	0	0.0056985750701361	0.0464382820769853	0.0072245191624153	0	0.1175028632091533	0.0306384849188107	0	0	0	0	0	0	0	0	0.0744641718641794	0.2345526181578552	0.0985963869596137	0.0424329616671571	0.12085	0.193781757022031	0.0274664088662091	0.1092951586849985	0.0131211912620522	0.1869950567758264	0.1664407928383955	0.0804724811182503	0	0	0	0	0	0.00614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0069493829694763	0	0	0	0	0.0364863008712008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0890914871756672	0.0628540988817672	0	0.0623045810839601	0.0857192599893119	1.0805025671984776	0.0780474490529134	0.0120590427623845	0	0	0.0335224657060565	0.4422926289756593	0	0	0	0.025337402810883	0	0.1359241386030486	0.02134	0.1832581974235301	0.5884606730364321	0.0418295747610377	0	0.0375160790662872	0	0	0	0	0.3452925926062524	0.1025124923831052	0.0023142913304389	0.9999633250432542	0	0.3001238305819582	0.127295082125402	0.3498265801371823	0.9681399219157452	4.767362124156442	0	0	0	0.0113346508389786	0.1467512407848413	0.1740133884068365	0	0.2006244102487031	0.0609042267204516	0.0298734810490802	0.1149540316266768	0.0944453879011702	0.0313919481014191	0.0204285782830862	0.0664815532908778	0	0	0	0	0	0	0.086828083392228	0	0	0.2694081714880967	0	0.4523833327234057	0.7473559027292048	0.0236419419658482	0.0571065773969029	0.2179053281594794	0.2730929105292272	0.0954505827315913	0.9718738526732776	0.0367977954026255	0.5689263948323102	0	0	0	0.3476607671909907	0	0	0	0.0155159682049111	0.588692458456108	0.1980997176851881	0.3483276709374672	0.0039799705398071	0.1984210831229639	0.7035284909580971	0.5181024386217556	0.0175791374659635	1.026637282604431	0.4731110835492219	2.0762529599535484	2.2005237646776528	0.3703205141880294	0.0481919151043766	0.099335032990028	0.0699175690859225	0.0678791920847061	0	0.0407471357964691	0.013542380184726	0.1065642464953994	0.0379045324355486	0.0095322093850098	0.1275192542823764	0.0387882548997432	0.0236850833328619	0.153216930554756	0.0175714367753386	0.0522302912463185	0.0178897263588307
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Paeniclostridium|s__Paeniclostridium_sordellii|t__SGB6146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0069868107360466	0	0	0	0.0657152362904033	2.6970929305214044	0	0	0	0	0.4368182521085129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
